code,description
010129,live horses (excl. pure-bred for breeding)
01012910,horses for slaughter
01012990,"live horses (excl. for slaughter, pure-bred for breeding)"
01013000,live asses
01019000,live mules and hinnies
01012100,pure-bred breeding horses
01022910,live cattle of a weight <= 80 kg (excl. pure-bred for breeding)
01022921,"cattle of a weight > 80 kg but <= 160 kg, for slaughter"
01022929,"live cattle of a weight > 80 kg but <= 160 kg (excl. for slaughter, pure-bred for breeding)"
01022941,"cattle of a weight > 160 kg but <= 300 kg, for slaughter"
01022130,pure-bred breeding cows (excl. heifers)
01022190,pure-bred cattle for breeding (excl. heifers and cows)
010229,live cattle (excl. pure-bred for breeding)
01022905,live cattle of the sub-genus bibos or poephagus (excl. pure-bred for breeding)
010221,pure-bred cattle for breeding
01022110,"pure-bred breeding heifers ""female bovines that have never calved"""
01022969,live cows of a weight > 300 kg (excl. for slaughter and pure-bred for breeding and heifers)
01022949,"live cattle of a weight > 160 kg but <= 300 kg (excl. for slaughter, pure-bred for breeding)"
01022951,"heifers ""female bovines that have never calved"" of a weight > 300 kg, for slaughter"
01022959,"live heifers ""female bovines that have never calved"" of a weight > 300 kg (excl. for slaughter and pure-bred for breeding)"
01022961,"cows of a weight > 300 kg, for slaughter (excl. heifers)"
01022991,"cattle of a weight > 300 kg, for slaughter (excl. heifers and cows)"
01022999,"live cattle of a weight > 300 kg (excl. for slaughter, pure-bred for breeding and heifers and cows)"
01029099,"live bovine animals (excl. cattle, buffalo, pure-bred for breeding and domestic species)"
01023100,pure-bred buffalo for breeding
010239,live buffalo (excl. pure-bred for breeding)
01023910,live domestic buffalo (excl. pure-bred for breeding)
01023990,live buffalo (excl. domestic species and pure-bred for breeding)
010290,live bovine animals (excl. cattle and buffalo)
01029020,bovine pure-bred breeding animals (excl. cattle and buffalo)
01029091,live domestic bovine animals (excl. cattle and buffalo and pure-bred for breeding)
01039219,"live domestic swine, weighing >= 50 kg (excl. sows having farrowed at least once and weighing >= 160 kg, and those pure-bred for breeding)"
01039290,"live non-domestic swine, weighing >= 50 kg"
01039110,"domestic swine, weighing < 50 kg (excl. pure-bred for breeding)"
01039190,"live non-domestic swine, weighing < 50 kg"
010392,"live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding)"
01039211,"live domestic sows, having farrowed at least once, weighing >= 160 kg (excl. pure-bred for breeding)"
01031000,pure-bred breeding swine
010391,"live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)"
010410,live sheep
01041010,pure-bred sheep for breeding
01041030,"live lambs ""sheep up to a year old"" (excl. purebred breeding animals)"
01041080,live sheep (excl. lambs and pure-bred breeding animals)
010420,live goats
01042010,pure-bred breeding goats
01042090,live goats (excl. pure-bred for breeding)
010511,"live fowls of the species gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)"
01051111,grandparent and parent female chicks of fowls of the species gallus domesticus laying stocks of a weight of <= 185 g
01051119,grandparent and parent female chicks fowls of the species gallus domesticus of a weight of <= 185 g (excl. laying stocks)
01051191,"laying stock ""fowls of the species gallus domesticus"" of a weight of <= 185 g (excl. grandparent and parent female chicks)"
01051199,live fowls of the species gallus domesticus of a weight of <= 185 g (excl. grandparent and parent female chicks and laying stocks)
01051200,"live domestic turkeys, weighing <= 185 g"
01059920,"live domestic geese, weighing > 185 g"
01059930,"live domestic turkeys, weighing > 185 g"
01059950,"live domestic guinea fowls, weighing > 185 g"
01051300,"live domestic ducks, weighing <= 185 g"
01051400,"live domestic geese, weighing <= 185 g"
01051500,"live domestic guinea fowls, weighing <= 185 g"
010599,"live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g"
01059910,"live domestic ducks, weighing > 185 g"
01059400,"live fowls of the species gallus domesticus, weighing > 185"
01061410,live domestic rabbits
01061490,live rabbits and hares (excl. domestic rabbits)
01061900,"live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)"
01062000,"live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards"""
01061100,live primates
01061200,"live whales, dolphins and porpoises (mammals of the order cetacea); manatees and dugongs (mammals of the order sirenia); seals, sea lions and walruses (mammals of the suborder pinnipedia)"
01061300,live camels and other camelids [camelidae]
010614,live rabbits and hares
010639,"live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)"
01063910,live pigeons
01063980,"live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches, emus and pigeons)"
01064100,live bees
01063100,live birds of prey
01063200,"live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"""
01063300,"live ostriches, and emus [dromaius novaehollandiae]"
01064900,live insects (excl. bees)
01069000,"live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)"
020755,frozen cuts and edible offal of domestic geese
020760,"meat and edible offal of domestic guinea fowls, fresh, chilled or frozen"
020714,frozen cuts and edible offal of fowls of the species gallus domesticus
020712,"frozen fowls of the species gallus domesticus, not cut in pieces"
020713,fresh or chilled cuts and edible offal of fowls of the species gallus domesticus
020711,"fresh or chilled fowls of the species gallus domesticus, not cut in pieces"
020725,"frozen turkeys of the species domesticus, not cut into pieces"
020724,"fresh or chilled turkeys of the species domesticus, not cut in pieces"
020741,"fresh or chilled domestic ducks, not cut in pieces"
020727,frozen cuts and edible offal of turkeys of the species domesticus
