HS_Code,description,Reformulated_Description
06029041,live forest trees,"Real, fresh forest trees."
81121900,"articles of beryllium, n.e.s.","Beryllium articles, not elsewhere specified."
95030075,"plastic toys and models, incorporating a motor (excl. electric trains, scale model assembly kits, and toys representing animals, human or non-human creatures)","Mechanically powered plastic toys and models (excluding electric trains, scale model assembly kits, and animal/creature representations)."
46021910,bottle envelopes made directly from straw or from vegetable plaiting materials of heading4601(excl. of bamboo and rattan),"Biodegradable envelopes crafted from straw or vegetable raffia (heading4601, excluding bamboo and rattan)."
00020725,"frozen turkeys of the species domesticus, not cut into pieces","Whole, frozen domestic turkeys."
31031100,"superphosphates containing by weight => 35 % of diphosphorus pentaoxide ""p2o5"" (excl. such products in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","This product is a superphosphate with a minimum of 35% diphosphorus pentoxide (P2O5) content (excluding products in tablet or similar forms, or packaged in units with a gross weight of 10 kg or less)."
00620990,"babies' garments and clothing accessories of textile materials (excl. of cotton or synthetic fibres, knitted or crocheted and hats, napkins and napkin liners [see 9619])","Textile baby garments and accessories (excluding cotton or synthetic fibers, knitted or crocheted items, and napkins/napkin liners)."
82121010,safety razors with non-replaceable blades of base metal,Metal-based safety razors with non-replaceable blades.
55011100,"filament tow as specified in note 1 to chapter 55, of aramids",Aramid filament tow conforming to specification Note 1 of Chapter 55.
00722020,"flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than cold-rolled ""cold-reduced""","Cold-rolled stainless steel sheets, with a width of less than 600 mm."
15131911,"solid coconut oil fractions, whether or not refined, but not chemically modified, in immediate packings of <= 1 kg","Solid coconut oil fractions, refined or unrefined and not chemically modified, available in immediate pack sizes of 1 kg or less."
26209910,"slag, ash and residues containing mainly nickel","Nickel-containing slag, ash, and residues."
